Site Number,Location,Edge ID,Direction
970,HIGH STREET_RD E of WARRIGAL_RD,A001,E
970,WARRIGAL_RD N of HIGH STREET_RD,A002,N
970,WARRIGAL_RD S of HIGH STREET_RD,A003,S
2000,BURWOOD_HWY E of WARRIGAL_RD,A004,E
2000,TOORAK_RD W of WARRIGAL_RD,A005,W
2000,WARRIGAL_RD N of TOORAK_RD,A006,N
2200,MAROONDAH_HWY E of UNION_RD,A007,E
2820,EARL_ST SE of PRINCESS_ST,A008,SE
2820,PRINCESS_ST S of CHANDLER_HWY,A009,S
2825,BURKE_RD S of EASTERN_FWY,A010,S
2827,BULLEEN_RD N of THOMPSONS_RD,A011,N
2827,BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,A012,S
2827,OFFRAMP_EASTERN_FWY E of BULLEEN_RD,A013,E
2827,OFFRAMP_EASTERN_FWY W of BULLEEN_RD,A014,W
2846,HIGH_ST E OF S.E.ARTERIAL,A015,E
2846,HIGH_ST W OF WILLS_ST,A016,W
2846,S.E.ARTERIAL N OF HIGH_ST,A017,S
2846,WILLS_ST NW OF HIGH_ST,A018,NW
3001,BARKERS_RD W of CHURCH_ST,A019,W
3001,CHURCH_ST SW of BARKERS_RD,A020,SW
3002,BARKERS_RD E of DENMARK_ST,A021,E
3002,BARKERS_RD W of DENMARK_ST,A022,W
3002,DENMARK_ST N of BARKERS_RD,A023,N
3002,POWER_ST S of BARKERS_RD,A024,S
3120,BURKE_RD N of CANTERBURY_RD,A025,N
3120,CANTERBURY_RD E of BURKE_RD,A026,E
3122,STANHOPE_GV S of CANTERBURY_RD,A027,S
3126,CANTERBURY_RD E of WARRIGAL_RD,A028,E
3127,CANTERBURY_RD E of BALWYN_RD,A029,E
3127,CANTERBURY_RD W of BALWYN_RD,A030,W
3180,BALWYN_RD S of DONCASTER_RD,A031,S
3662,HIGH_ST NE of PRINCESS_ST,A032,NE
3662,HIGH_ST SW of DENMARK_ST,A033,SW
3662,PRINCESS_ST N of HIGH_ST,A034,N
